,Source,Referal,Medium,Date,Sessions
1112,bimtagedeutschland.de,referral,desktop,2022-10-21,1
105,bimswarm.de,referral,desktop,2022-10-21,10
881,(direct),(none),mobile,2022-10-21,1
195,(direct),(none),desktop,2022-10-21,7
1197,futury.lightning.force.com,referral,desktop,2022-10-20,1
1111,bimtagedeutschland.de,referral,desktop,2022-10-20,1
267,bimswarm.de,referral,desktop,2022-10-20,6
124,(direct),(none),desktop,2022-10-20,9
736,bing,organic,desktop,2022-10-20,2
769,google,organic,desktop,2022-10-20,2
411,bimswarm.de,referral,desktop,2022-10-19,4
123,(direct),(none),desktop,2022-10-19,9
71,(direct),(none),desktop,2022-10-18,11
1206,google,organic,desktop,2022-10-18,1
880,(direct),(none),mobile,2022-10-18,1
145,bimswarm.de,referral,desktop,2022-10-18,9
879,(direct),(none),mobile,2022-10-17,1
16,(direct),(none),desktop,2022-10-17,17
5,bimswarm.de,referral,desktop,2022-10-17,20
220,bimswarm.de,referral,desktop,2022-10-16,7
295,(direct),(none),desktop,2022-10-16,5
1010,bimswarm.de,referral,desktop,2022-10-15,1
587,(direct),(none),desktop,2022-10-15,2
70,(direct),(none),desktop,2022-10-14,11
328,bimswarm.de,referral,desktop,2022-10-14,5
878,(direct),(none),mobile,2022-10-13,1
69,(direct),(none),desktop,2022-10-13,11
1205,google,organic,desktop,2022-10-13,1
517,bimswarm.de,referral,desktop,2022-10-13,3
987,adesso.de,referral,desktop,2022-10-12,1
664,baidu,organic,mobile,2022-10-12,2
1204,google,organic,desktop,2022-10-12,1
122,(direct),(none),desktop,2022-10-12,9
176,bimswarm.de,referral,desktop,2022-10-12,8
86,(direct),(none),desktop,2022-10-11,10
326,app.goto.com,referral,desktop,2022-10-11,5
30,bimswarm.de,referral,desktop,2022-10-11,16
194,(direct),(none),desktop,2022-10-10,7
104,bimswarm.de,referral,desktop,2022-10-10,10
1203,google,organic,desktop,2022-10-10,1
1004,bim-cluster-sachsen-anhalt.de,referral,desktop,2022-10-09,1
1102,bimswarm.de,referral,tablet,2022-10-09,1
370,(direct),(none),desktop,2022-10-09,4
463,(direct),(none),desktop,2022-10-08,3
877,(direct),(none),mobile,2022-10-07,1
1202,google,organic,desktop,2022-10-07,1
671,bimswarm.de,referral,desktop,2022-10-07,2
31,(direct),(none),desktop,2022-10-07,15
516,bimswarm.de,referral,desktop,2022-10-06,3
193,(direct),(none),desktop,2022-10-06,7
158,(direct),(none),desktop,2022-10-05,8
1295,linkedin.com,referral,desktop,2022-10-05,1
410,bimswarm.de,referral,desktop,2022-10-05,4
192,(direct),(none),desktop,2022-10-04,7
1132,bingk.de,referral,desktop,2022-10-04,1
409,bimswarm.de,referral,desktop,2022-10-04,4
408,bimswarm.de,referral,desktop,2022-10-03,4
830,(direct),(none),desktop,2022-10-03,1
586,(direct),(none),desktop,2022-10-02,2
1009,bimswarm.de,referral,desktop,2022-10-02,1
829,(direct),(none),desktop,2022-10-01,1
876,(direct),(none),mobile,2022-10-01,1
628,(direct),(none),mobile,2022-09-30,2
670,bimswarm.de,referral,desktop,2022-09-30,2
1201,google,organic,desktop,2022-09-30,1
240,(direct),(none),desktop,2022-09-30,6
1110,bimtagdeutschland.de,referral,desktop,2022-09-29,1
219,bimswarm.de,referral,desktop,2022-09-29,7
1345,statics.teams.cdn.office.net,referral,desktop,2022-09-29,1
55,(direct),(none),desktop,2022-09-29,12
505,(direct),(none),mobile,2022-09-29,3
995,baidu,organic,mobile,2022-09-29,1
1140,digital-bau.com,referral,desktop,2022-09-29,1
1200,google,organic,desktop,2022-09-28,1
266,bimswarm.de,referral,desktop,2022-09-28,6
1294,linkedin.com,referral,desktop,2022-09-28,1
121,(direct),(none),desktop,2022-09-28,9
734,bimtagdeutschland.de,referral,desktop,2022-09-28,2
456,linkedin.com,referral,desktop,2022-09-27,4
24,(direct),(none),desktop,2022-09-27,16
875,(direct),(none),mobile,2022-09-27,1
1199,google,organic,desktop,2022-09-27,1
1135,confluence.adesso.de,referral,desktop,2022-09-27,1
103,bimswarm.de,referral,desktop,2022-09-27,10
157,(direct),(none),desktop,2022-09-26,8
580,linkedin.com,referral,desktop,2022-09-26,3
1134,confluence.adesso.de,referral,desktop,2022-09-26,1
552,bing,organic,desktop,2022-09-26,3
327,bimswarm.de,referral,desktop,2022-09-26,5
994,baidu,organic,mobile,2022-09-26,1
1293,linkedin.com,referral,desktop,2022-09-25,1
294,(direct),(none),desktop,2022-09-25,5
1008,bimswarm.de,referral,desktop,2022-09-25,1
1059,bimswarm.de,referral,mobile,2022-09-24,1
1007,bimswarm.de,referral,desktop,2022-09-24,1
585,(direct),(none),desktop,2022-09-24,2
1198,google,organic,desktop,2022-09-23,1
239,(direct),(none),desktop,2022-09-23,6
515,bimswarm.de,referral,desktop,2022-09-23,3
753,confluence.adesso.de,referral,desktop,2022-09-23,2
1292,linkedin.com,referral,desktop,2022-09-23,1
1109,bimtagdeutschland.de,referral,desktop,2022-09-22,1
